song name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
One Way Trigger,0.516,0.942,-4.113,0.036,0.000182,0.464,0.116,0.964,95.996,242293,4
Soma,0.501,0.715,-7.382,0.0301,0.0774,0.00603,0.0653,0.502,148.971,153809,4
Metabolism,0.422,0.85,-5.134,0.0395,4.16e-05,0.00371,0.164,0.34,162.004,180680,3
Tap Out,0.737,0.745,-5.944,0.0351,0.0176,0.381,0.306,0.629,115.989,222360,4
Happy Ending,0.626,0.831,-7.743,0.0369,0.00571,0.0188,0.355,0.255,113.999,172160,4
Maroon,0.658,0.378,-8.3,0.0379,0.0593,0.0,0.0976,0.0382,108.034,218271,4
Ride The Lightning - Remastered,0.257,0.975,-6.128,0.175,6.07e-05,0.1,0.222,0.276,149.312,396987,4
Crying Lightning,0.498,0.885,-4.423,0.0461,0.0148,0.00041,0.239,0.67,106.719,224827,4
All The Time,0.403,0.883,-6.054,0.0745,8.44e-05,0.65,0.126,0.078,141.945,181373,4
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),0.606,0.377,-9.455,0.0275,0.817,0.0,0.154,0.446,101.96,258813,4
Halo On Fire,0.323,0.936,-3.514,0.0504,1.43e-05,0.00437,0.0983,0.21,126.367,495017,4
The Jeweller's Hands,0.51,0.8,-8.116,0.0488,0.137,0.0834,0.118,0.391,96.935,344053,4
Ize of the World,0.397,0.894,-3.099,0.0464,9.07e-06,0.642,0.0847,0.277,134.993,265773,4
Carolina - From The Motion Picture “Where The Crawdads Sing”,0.476,0.189,-13.777,0.0329,0.904,4.52e-06,0.254,0.324,115.851,264439,4
The Call Of Ktulu - Remastered,0.31,0.926,-7.58,0.0994,0.0226,0.857,0.21,0.158,139.012,533493,4
My Propeller,0.415,0.657,-6.758,0.0295,0.052,0.0552,0.233,0.69,115.752,205747,4
Chances,0.561,0.569,-9.682,0.0289,0.365,0.611,0.109,0.53,103.705,216787,4
Lavender Haze,0.735,0.444,-10.519,0.0684,0.204,0.0012,0.17,0.0984,97.038,202396,4
Leper Messiah - Remastered,0.379,0.808,-8.605,0.0684,5.23e-05,0.794,0.322,0.557,138.694,339880,4
Cornerstone,0.287,0.721,-5.81,0.0387,0.00764,0.0,0.328,0.763,169.252,197973,4
50/50,0.491,0.93,-6.412,0.0347,4.23e-05,0.612,0.219,0.623,99.924,163227,4
Anti-Hero,0.638,0.634,-6.582,0.0457,0.133,1.23e-06,0.152,0.519,96.953,200690,4
"Atlas, Rise!",0.416,0.994,-3.354,0.0609,2.93e-05,0.0299,0.0704,0.434,95.205,388625,4
Knee Socks,0.665,0.542,-8.323,0.033,0.123,0.00291,0.342,0.587,97.975,257563,4
Gratisfaction,0.644,0.788,-5.039,0.0558,0.0456,0.34,0.237,0.708,135.437,179200,4
Midnight Rain,0.643,0.363,-11.738,0.0767,0.69,5.17e-05,0.115,0.23,139.865,174783,4
One,0.437,0.695,-9.447,0.0617,0.00111,0.0857,0.124,0.413,102.178,447440,3
Science Fiction,0.542,0.766,-5.411,0.0282,0.0295,0.0802,0.396,0.643,88.062,185907,4
Slow Animals,0.664,0.646,-7.934,0.0284,0.0658,0.28,0.0954,0.5,131.993,260693,4
Sweet Nothing,0.334,0.161,-14.875,0.0506,0.967,4.71e-05,0.115,0.396,176.747,188497,4
Blackened,0.445,0.802,-8.965,0.123,6.22e-05,0.00202,0.112,0.499,129.037,400613,4
There’d Better Be A Mirrorball,0.513,0.369,-10.899,0.0307,0.634,0.0139,0.186,0.311,72.062,265798,4
Machu Picchu,0.695,0.817,-5.294,0.0659,0.0132,0.097,0.0601,0.874,105.014,209627,4
Snow On The Beach (feat. Lana Del Rey),0.663,0.319,-13.481,0.0375,0.69,0.000993,0.117,0.193,109.957,256124,4
Enter Sandman,0.577,0.828,-8.691,0.0298,0.00213,0.0114,0.0581,0.604,123.257,331267,4
Dangerous Animals,0.34,0.922,-5.189,0.18,0.0129,2.39e-06,0.226,0.532,125.363,210667,4
Razorblade,0.394,0.859,-3.851,0.0409,0.00201,0.233,0.1,0.511,136.075,208133,5
Bejeweled,0.7,0.55,-9.13,0.0653,0.0661,0.000102,0.091,0.412,164.003,194166,4
The Dream Synopsis - The Dream Synopsis EP Version,0.557,0.377,-8.822,0.0289,0.393,0.00744,0.115,0.383,111.191,222183,4
Mardy Bum,0.634,0.599,-5.447,0.0365,0.0288,0.0,0.197,0.312,112.215,175440,4
Selfless,0.538,0.679,-4.297,0.0333,0.191,0.00175,0.0889,0.0888,121.99,222093,4
Vigilante Shit,0.798,0.277,-11.096,0.39,0.173,5.25e-05,0.121,0.163,79.846,164801,4
"Damage, Inc.",0.326,0.848,-10.567,0.167,0.000467,0.466,0.134,0.143,91.671,332465,4
Piledriver Waltz,0.443,0.865,-4.547,0.0391,0.00724,0.000116,0.468,0.474,110.008,203880,4
Taken for a Fool,0.569,0.89,-4.447,0.0559,0.00595,0.0112,0.226,0.885,137.044,203240,4
"You're On Your Own, Kid",0.696,0.396,-10.289,0.0656,0.401,5.2e-06,0.125,0.38,120.041,194207,4
The Judas Kiss,0.323,0.96,-2.712,0.0816,0.000806,0.0177,0.039,0.503,179.341,480760,4
Batphone,0.675,0.681,-5.728,0.0356,0.312,0.0,0.304,0.675,106.521,271613,4
Life Is Simple in the Moonlight,0.515,0.696,-5.857,0.0313,0.0126,0.000345,0.0916,0.513,134.893,255240,4
Karma,0.642,0.62,-7.091,0.0666,0.0734,0.0,0.483,0.0969,90.02,204852,4
Little Girl (feat. Julian Casablancas),0.54,0.912,-5.678,0.0376,0.000108,0.00298,0.134,0.839,146.033,272933,4
Do Me a Favour,0.469,0.738,-6.638,0.0619,0.00013,0.0577,0.078,0.624,180.15,209253,4
Welcome To Japan,0.705,0.666,-7.23,0.0303,0.00233,0.0149,0.174,0.646,124.032,230827,4
Holy Ground (Taylor's Version),0.622,0.809,-5.623,0.0638,0.0288,0.00218,0.109,0.511,156.894,202960,4
Ronnie,0.554,0.911,-5.464,0.0338,0.0011,0.00306,0.0542,0.612,84.474,317133,4
American Sports,0.372,0.865,-4.288,0.0513,0.00169,0.00293,0.127,0.594,176.689,158040,3
Electricityscape,0.382,0.882,-4.166,0.0429,0.0022,0.144,0.0776,0.57,140.034,213200,4
